Address      Type         Bits   RW/RO   Min    Max   Default                  Name                             Alternative name               Right to modify    Main application   Description                                                                                                                                                                                                          
  dec                                                                                                                                                                                
   1         coil         bool     RW   false  true     true               Cup1Control                            CUP1_CONTROL                  ModbusServer       user interface    Control of Faraday Cup 1 using a pneumatic actuator; true = insert cup; false = withdraw                                                                                                                             
   2         coil         bool     RO   false  true    false           ExternalInhibition1                    EXTERNAL_INHIBITION1                   N/A                             not installed; always equals 'false'                                                                                                                                                                                 
   3         coil         bool     RO   false  true     true                Cup1Switch                             CUP1_SWITCH                   LogicInputs    related to hardware  Measurement of limit switch status; true = switch pressed; false = switch released; in steady state, this status should match the value of register Cup1Control                                                      
   4         coil         bool     RO   false  true    false                                                                                         N/A                             Reserved                                                                                                                                                                                                             
                                                                                                                                                                                     
   5         coil         bool     RW   false  true     true               Cup2Control                            CUP2_CONTROL                  ModbusServer       user interface    Control of Faraday Cup 2 using a pneumatic actuator; true = insert cup; false = withdraw                                                                                                                             
   6         coil         bool     RO   false  true    false           ExternalInhibition2                    EXTERNAL_INHIBITION2               LogicInputs    related to hardware  Measurement of the external inhibit logic signal; true = inhibition enabled; false = inhibition disabled                                                                                                             
   7         coil         bool     RO   false  true     true                Cup2Switch                             CUP2_SWITCH                   LogicInputs    related to hardware  Measurement of limit switch status; true = switch pressed; false = switch released; in steady state, this status should match the value of register Cup2Control                                                      
   8         coil         bool     RO   false  true    false                                                                                         N/A                             Reserved                                                                                                                                                                                                             
                                                                                                                                                                                     
   9         coil         bool     RW   false  true     true               Cup3Control                            CUP3_CONTROL                  ModbusServer       user interface    Control of Faraday Cup 3 using a motor actuator; true = insert cup; false = withdraw                                                                                                                                 
   10        coil         bool     RO   false  true    false           ExternalInhibition3                    EXTERNAL_INHIBITION3                   N/A                             not installed; always equals 'false'                                                                                                                                                                                 
   11        coil         bool     RO   false  true    false               Cup3SwitchA                            CUP3_SWITCH_A                  LogicInputs    related to hardware  Measurement of limit switch status; true = switch pressed; false = switch released; in steady state, this status should match the value of register Cup3Control                                                      
   12        coil         bool     RO   false  true    false               Cup3SwitchB                            CUP3_SWITCH_B                  LogicInputs    related to hardware  Measurement of limit switch status; true = switch pressed; false = switch released; in steady state, this status should be equal to the negation of register Cup3Control                                             
                                                                                                                                                                                     
   13        coil         bool     RO   false  true     true            Cup1RequestedState                    CUP1_REQUESTED_STATE                 MainFSM            internal       Command for the AuxiliaryFSM; true = insert the cup; false = withdraw the cup                                                                                                                                        
   14        coil         bool     RO   false  true     true            Cup2RequestedState                    CUP2_REQUESTED_STATE                 MainFSM            internal       - // -                                                                                                                                                                                                               
   15        coil         bool     RO   false  true     true            Cup3RequestedState                    CUP3_REQUESTED_STATE                 MainFSM            internal       - // -                                                                                                                                                                                                               
                                                                                                                                                                                     
   16        coil         bool     RO   false  true     true             Actuator1Control                       ACTUATOR1_CONTROL               AuxiliaryFSMs   related to hardware  The logic state of the output controlling Faraday cup actuator #1; true = active open-collector output, uC port is high; false = open-collector output inactive (circuit open), uC port is low                       
   17        coil         bool     RO   false  true     true             Actuator2Control                       ACTUATOR2_CONTROL               AuxiliaryFSMs   related to hardware  The logic state of the output controlling Faraday cup actuator #2; true = active open-collector output, uC port is high; false = open-collector output inactive (circuit open), uC port is low                       
   18        coil         bool     RO   false  true    false            Actuator3ControlIn                    ACTUATOR3_CONTROL_IN              AuxiliaryFSMs   related to hardware  true = (voltage V3a-V3b = +12V); false = high impedance outputs                                                                                                                                                      
   19        coil         bool     RO   false  true    false           Actuator3ControlOut                    ACTUATOR3_CONTROL_OUT             AuxiliaryFSMs   related to hardware  true = (voltage V3a-V3b = -12V); false = high impedance outputs                                                                                                                                                      
   20        coil         bool     RO   false  true    false          Actuator3ControlBrake                  ACTUATOR3_CONTROL_BRAKE            AuxiliaryFSMs   related to hardware  true = the brake is on (active open-collector output, uC port is high); false = the brake is off                                                                                                                     
                                                                                                                                                                                     
                                                                                                                                                                                     
  1000   holding reg.    uint16    RO     0    65535     0                  ErrorCode                              ERROR_CODE                      MainFSM         user interface    Error code for the entire device (bitmap)                                                                                                                                                                            
  1001   holding reg.    uint16    RO     0    65535     0                  LastError                              LAST_ERROR                      MainFSM         user interface    Code of the last error                                                                                                                                                                                               
  1002   holding reg.    uint16    RW     0    65535     0                 ErrorStorage                           ERROR_STORAGE               MainFSM, Modbus.     user interface    A bitwise OR of all errors; can be reset via Modbus                                                                                                                                                                  
                                                                                                                                                                                     
  1003   holding reg.    uint16    RW     1    65535    700            TimeLimitInserting1                    TIME_LIMIT_INSERTING1             ModbusServer       configuration     Time limit for the transient state when inserting a Faraday cup; unit = millisecond                                                                                                                                  
  1004   holding reg.    uint16    RW     1    65535    700            TimeLimitInserting2                    TIME_LIMIT_INSERTING2             ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1005   holding reg.    uint16    RW     1    65535    4000           TimeLimitInserting3                    TIME_LIMIT_INSERTING3             ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1006   holding reg.    uint16    RW     1    65535    300           TimeLimitWithdrawing1                  TIME_LIMIT_WITHDRAWING1            ModbusServer       configuration     Time limit for the transient state when withdrawing a Faraday cup; unit = millisecond                                                                                                                                
  1007   holding reg.    uint16    RW     1    65535    300           TimeLimitWithdrawing2                  TIME_LIMIT_WITHDRAWING2            ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1008   holding reg.    uint16    RW     1    65535    4400          TimeLimitWithdrawing3                  TIME_LIMIT_WITHDRAWING3            ModbusServer       configuration     - // -                                                                                                                                                                                                               
                                                                                                                                                                                     
  1009   holding reg.    uint16    RW     1      3       0                  ActiveCup                              ACTIVE_CUP                      MainFSM            internal       The first inserted Faraday cup as seen from the ion source side; if none is inserted, the previous value should be retained;                                                                                         
                                                                                                                                                                                     
